Team,Avg Win RP,Avg Auto RP,Avg Climb RP
frc3337,1.052631579,0.368421053,0
frc3616,1.473684211,0.421052632,0
frc5454,0.8,0.5,0.1
frc6474,1.142857143,0.571428571,0.107142857
frc5006,1.103448276,0.482758621,0.137931034
frc3310,1.8125,0.71875,0.40625
frc6131,1.125,0.53125,0.1875
frc4537,1.076923077,0.461538462,0
frc4817,0.461538462,0.384615385,0
frc6998,1.230769231,0.384615385,0.076923077
frc7023,0.923076923,0.153846154,0
frc6434,1.12,0.48,0.04
frc4613,1.705882353,0.705882353,0.147058824
frc4739,0.769230769,0.461538462,0
frc7074,1.538461538,0.384615385,0
frc6836,1.230769231,0.692307692,0
frc5985,1.529411765,0.735294118,0.029411765
frc4802,0.823529412,0.382352941,0
frc4774,0.96,0.32,0.04
frc6191,0.923076923,0.307692308,0
frc6204,0.615384615,0.230769231,0
frc4253,1.591836735,0.93877551,0.244897959
frc6083,1.083333333,0.208333333,0.041666667
frc6508,1.130434783,0.608695652,0.043478261
frc5593,0.923076923,0.461538462,0.076923077
frc6118,0.615384615,0.384615385,0
frc6996,0.869565217,0.695652174,0.043478261
frc5331,0.916666667,0.583333333,0
frc3132,0.837209302,0.488372093,0.279069767
frc6579,1.666666667,0.708333333,0.041666667
frc6187,0.307692308,0.307692308,0
frc7278,1.230769231,0.538461538,0
frc5983,1.076923077,0.384615385,0
frc3008,0.944444444,0.5,0.111111111
frc7130,0.307692308,0.461538462,0
frc6024,1.117647059,0.676470588,0
frc6520,0.615384615,0.307692308,0
frc6432,1.272727273,0.363636364,0
frc5584,1.428571429,0.857142857,0.380952381
frc4614,0.545454545,0.181818182,0.090909091
frc6575,1.090909091,0.272727273,0.090909091
frc6035,0.909090909,0.454545455,0.090909091
frc6509,0.727272727,0.272727273,0.181818182
frc6813,1.238095238,0.666666667,0.142857143
frc7163,0.545454545,0.272727273,0.090909091
frc6050,0.952380952,0.619047619,0.095238095
frc5564,0.545454545,0.363636364,0.181818182
frc6524,1.272727273,0.363636364,0.090909091
frc5663,1.428571429,0.857142857,0.095238095
frc6007,0.363636364,0.363636364,0
frc6510,1.090909091,0.818181818,0.136363636
frc7124,0.545454545,0.181818182,0.090909091
frc7128,0.380952381,0.476190476,0.142857143
frc6063,1.090909091,0.363636364,0
frc5333,1.090909091,0.181818182,0
frc5648,0.909090909,0.363636364,0
frc6449,0.909090909,0.363636364,0
frc4729,0.727272727,0.363636364,0.181818182
frc4801,0.909090909,0.090909091,0
frc6525,0.909090909,0.363636364,0
frc6440,0.909090909,0.363636364,0
frc5876,0.727272727,0.272727273,0
frc5988,0.727272727,0.454545455,0.090909091
frc7113,0.727272727,0.272727273,0
frc6476,0.909090909,0.363636364,0
frc7050,0.545454545,0.272727273,0
frc6931,0.444444444,0,0.111111111
frc60,1.047619048,0.428571429,0.047619048
frc668,1.071428571,0.785714286,0.035714286
frc1492,1.523809524,0.476190476,0
frc7059,0.857142857,0.476190476,0.047619048
frc6560,0.952380952,0.428571429,0
frc3009,0.952380952,0.380952381,0.047619048
frc2403,1.419354839,0.709677419,0.161290323
frc6585,1.111111111,0.333333333,0
frc6314,0.967741935,0.451612903,0.096774194
frc1011,1.6,0.8,0.066666667
frc3019,0.774193548,0.35483871,0.032258065
frc5059,1.047619048,0.523809524,0
frc5539,0.444444444,0.222222222,0.222222222
frc751,0.888888889,0.444444444,0.055555556
frc3501,1.185185185,0.444444444,0
frc6518,1.111111111,0.555555556,0
frc4603,1.133333333,0.466666667,0.066666667
frc6656,0.444444444,0.222222222,0.111111111
frc1138,0.761904762,0.333333333,0
frc585,0.727272727,0.454545455,0.045454545
frc4183,1.428571429,0.761904762,0
frc3187,1.047619048,0.238095238,0
frc498,0.857142857,0.333333333,0
frc4153,0.7,0.5,0.05
frc2135,0.888888889,0.611111111,0.111111111
frc6482,0.666666667,0.222222222,0
frc2637,0.875,0.6875,0
frc4565,0.952380952,0.380952381,0.142857143
frc1836,1.157894737,0.631578947,0.105263158
frc6413,0.709677419,0.387096774,0.129032258
frc3577,0.761904762,0.380952381,0.095238095
frc6530,0.666666667,0.333333333,0
frc3925,0.952380952,0.428571429,0
frc8,1.333333333,0.666666667,0.055555556
frc987,1.290322581,0.709677419,0.322580645
frc2478,1.548387097,0.709677419,0.129032258
frc1828,0.580645161,0.419354839,0.032258065
frc3853,1.483870968,0.64516129,0.225806452
frc7214,0.761904762,0.333333333,0
frc4146,1.290322581,0.741935484,0.096774194
frc2375,1.047619048,0.285714286,0.047619048
frc3309,1.666666667,0.714285714,0.476190476
frc2840,0.774193548,0.483870968,0.096774194
frc1165,0.761904762,0.238095238,0
frc3785,0.222222222,0.222222222,0
frc4415,1.052631579,0.473684211,0.105263158
frc2486,1.548387097,0.774193548,0.129032258
frc6060,0.9375,0.4375,0.15625
frc2073,1.111111111,0.444444444,0.037037037
frc254,2,0.892857143,0.892857143
frc842,1.6875,0.78125,0.0625
frc6871,1,0.53125,0.125
frc6127,0.666666667,0.222222222,0
frc2437,1,0.454545455,0
frc991,1.238095238,0.285714286,0
frc996,0.666666667,0.444444444,0
frc1633,0.833333333,0.166666667,0
frc4496,0.833333333,0.5,0
frc2662,1.166666667,0.333333333,0
frc6748,0.5,0,0.083333333
frc6674,0.833333333,0.25,0
frc6479,1.166666667,0.333333333,0
frc6352,1.5,0.333333333,0.083333333
frc6922,1,0.25,0
frc6372,0,0,0
frc5613,0.888888889,0.388888889,0.027777778
frc5465,0.833333333,0.166666667,0
frc5200,0.833333333,0.25,0
frc698,0.782608696,0.434782609,0.086956522
frc7017,0.666666667,0.083333333,0
frc2449,1.333333333,0.333333333,0
frc6833,0.838709677,0.290322581,0
frc3944,0.5,0,0
frc3133,0.833333333,0.083333333,0
frc2647,0.916666667,0.5,0
frc2844,0.333333333,0.166666667,0
frc4111,0.833333333,0.416666667,0
frc1726,1.523809524,0.333333333,0.047619048
frc1290,0.666666667,0.083333333,0
frc1212,1.333333333,0.166666667,0
frc6683,1,0.333333333,0
frc3985,0.380952381,0.142857143,0
frc6406,1.666666667,0.083333333,0
frc1868,1.032258065,0.35483871,0
frc6403,1.333333333,0.25,0
frc7287,0.909090909,0.636363636,0.045454545
frc7167,0.833333333,0.25,0
frc6563,0.666666667,0,0
frc7170,0.333333333,0.166666667,0
frc1241,1.689655172,0.724137931,0.396551724
frc7173,0.727272727,0.5,0.090909091
frc7158,1,0.333333333,0
frc4625,0.333333333,0.083333333,0
frc7135,0.666666667,0.083333333,0
frc6390,1.181818182,0.409090909,0
frc7262,1,0.166666667,0
frc6485,1,0,0
frc7169,1.333333333,0.25,0
frc7189,0.5,0.25,0
frc6408,0.666666667,0.083333333,0
frc2643,1.090909091,0.393939394,0.03030303
frc6458,1.166666667,0.25,0
frc7190,1.090909091,0.272727273,0.045454545
frc3390,0.52173913,0.47826087,0.043478261
frc6382,1.047619048,0.571428571,0.095238095
frc5124,1.272727273,0.363636364,0.090909091
frc3453,0.461538462,0.461538462,0
frc4255,1,0.681818182,0.045454545
frc2339,0.615384615,0.615384615,0
frc597,1.290322581,0.774193548,0.193548387
frc599,0.909090909,0.454545455,0.181818182
frc3669,0.761904762,0.666666667,0
frc2493,0.818181818,0.363636364,0.090909091
frc1160,1.04,0.76,0.12
frc2429,0.628571429,0.657142857,0.057142857
frc4276,1.304347826,0.47826087,0.086956522
frc980,0.909090909,0.363636364,0.060606061
frc5474,0.476190476,0.428571429,0
frc5805,1.090909091,0.575757576,0.181818182
frc5102,1.2,0.36,0.04
frc981,0.857142857,0.476190476,0.142857143
frc330,1.625,0.625,0.28125
frc6072,1.151515152,0.606060606,0.121212121
frc3476,1.636363636,0.818181818,0.484848485
frc2658,1.032258065,0.677419355,0.096774194
frc5012,1.393939394,0.454545455,0.151515152
frc399,1.409090909,0.659090909,0.181818182
frc4470,1.076923077,0.692307692,0.307692308
frc294,1.333333333,0.787878788,0.242424242
frc4191,1.085714286,0.314285714,0.142857143
frc4014,0.761904762,0.523809524,0.095238095
frc4322,1.130434783,0.52173913,0.086956522
frc702,0.818181818,0.545454545,0.045454545
frc5869,0.461538462,0.461538462,0
frc3647,1.238095238,0.333333333,0.285714286
frc199,1,0.444444444,0
frc5274,0.9,0.3,0
frc2551,0.888888889,0.277777778,0
frc295,0.9,0.45,0
frc3303,0.7,0.4,0
frc5250,0.666666667,0.111111111,0
frc383,1.647058824,0.647058824,0.235294118
frc2144,1.176470588,0.647058824,0
frc2204,1.25,0.5,0.25
frc5940,1.222222222,0.5,0.055555556
frc1323,1.933333333,0.866666667,0.466666667
frc3880,0.928571429,0.428571429,0.035714286
frc1351,0.823529412,0.411764706,0
frc3970,1.133333333,0.6,0.1
frc3598,1.034482759,0.75862069,0.103448276
frc3482,1,0.555555556,0.055555556
frc4643,0.947368421,0.473684211,0.052631579
frc6059,0.75,0.125,0
frc5817,1.333333333,0.533333333,0.3
frc6822,0.777777778,0.444444444,0.111111111
frc1671,1,0.7,0.1
frc4171,0.740740741,0.518518519,0.037037037
frc1662,0.9,0.45,0.1
frc6174,1.5,0.375,0
frc2141,1.25,0.5,0
frc1458,0.888888889,0.277777778,0
frc5480,1.25,0.25,0.125
frc6918,1,0.25,0
frc6039,0.705882353,0.411764706,0
frc3257,0.25,0.25,0
frc2367,1.037037037,0.555555556,0.074074074
frc3013,0.75,0.25,0.125
frc1678,1.743589744,0.897435897,0.846153846
frc4698,0.866666667,0.566666667,0.166666667
frc852,0.941176471,0.294117647,0.058823529
frc5496,1.517241379,0.517241379,0.275862069
frc5458,0.967741935,0.580645161,0.096774194
frc5728,1.25,0.625,0.125
frc692,0.6,0.4,0.1
frc1072,1.185185185,0.62962963,0.037037037
frc6238,0.823529412,0.470588235,0
frc2085,1,0.35,0.05
frc3256,1.407407407,0.666666667,0
frc100,0.785714286,0.428571429,0
frc3859,0.9,0.55,0.15
frc6619,0.705882353,0.411764706,0.058823529
frc3189,0.6,0.45,0
frc7229,1,0.375,0.125
frc6305,0.7,0.55,0.1
frc3615,1,0.125,0
frc6644,1,0.125,0
frc1280,1,0.375,0.125
frc6612,1,0.5,0
frc2035,1.176470588,0.647058824,0.117647059
frc4135,1.052631579,0.631578947,0.105263158
frc5507,1.222222222,0.5,0.111111111
frc7057,0.533333333,0.466666667,0.066666667
frc7308,0.352941176,0.294117647,0
frc6711,0.166666667,0.416666667,0
frc1388,1.333333333,0.791666667,0.041666667
frc2854,0.6875,0.4375,0
frc4160,1,0.55,0
frc6506,0.833333333,0.5,0.166666667
frc2813,0.952380952,0.476190476,0.142857143
frc5134,0.666666667,0.5,0.083333333
frc7096,0.333333333,0.25,0.083333333
frc6926,0.833333333,0.416666667,0
frc2443,0.96,0.68,0.08
frc1538,1.866666667,0.6,0.2
frc1422,0.333333333,0.5,0
frc5104,1.125,0.625,0.15625
frc4201,1.133333333,0.666666667,0
frc1197,1.483870968,0.580645161,0.129032258
frc5852,0.666666667,0.166666667,0
frc3495,0.941176471,0.588235294,0.088235294
frc3045,0.6,0.5,0.1
frc766,0.545454545,0.318181818,0.045454545
frc649,1.3125,0.71875,0.09375
frc972,0.8125,0.59375,0
frc5419,1.181818182,0.5,0.045454545
frc299,0.818181818,0.227272727,0.045454545
frc696,1.333333333,0.571428571,0.047619048
frc5026,1.375,0.78125,0.125
frc6657,1,0.75,0
frc6804,0.833333333,0.416666667,0.166666667
frc5700,0.875,0.4375,0.0625
frc6699,0.666666667,0.5,0
frc6960,0.2,0.2,0
frc5512,0.6,0,0
frc7025,0.6,0.3,0
frc5477,1,0.444444444,0.055555556
frc3491,1.2,0,0
frc6499,0.8,0.2,0.1
frc812,0.857142857,0.464285714,0.035714286
frc4141,1.052631579,0.105263158,0
frc3759,0.8,0.2,0
frc3473,1.285714286,0.5,0.035714286
frc4114,0.4,0.1,0
frc5209,0.777777778,0.333333333,0.055555556
frc5500,0.545454545,0.181818182,0.090909091
frc7157,1.1,0.3,0
frc6692,0.6,0.1,0
frc5634,0.4,0.1,0
frc4079,1.2,0.3,0
frc5857,0.9,0.45,0
frc1515,1.103448276,0.482758621,0.103448276
frc6955,0.8,0.3,0.1
frc1159,1,0.4,0.1
frc4999,0.6,0.2,0.1
frc4161,0.6,0,0
frc207,1.2,0.6,0
frc5802,1.333333333,0.7,0.066666667
frc5835,1,0.5,0
frc7230,1.2,0.3,0.1
frc5137,0.888888889,0.277777778,0
frc4056,0.6,0.1,0
frc7042,0.842105263,0,0
frc4619,1.2,0.3,0.1
frc6220,0.8,0.2,0
frc6904,0.8,0.2,0
frc5877,0.6,0.1,0.1
frc7322,1.4,0.3,0
frc3470,0.6,0.2,0.1
frc5966,0.8,0.2,0.1
frc6554,0,0,0
frc6535,1,0.2,0.1
frc2496,0.842105263,0.368421053,0.052631579
frc3295,0.4,0,0
frc5810,1.4,0.3,0
frc4913,0.571428571,0.476190476,0.047619048
frc4019,1.333333333,0.333333333,0
frc4972,1.555555556,0.111111111,0
frc2584,1.368421053,0.315789474,0
frc4123,0.888888889,0.111111111,0
frc6668,0.952380952,0.380952381,0.095238095
frc1759,0.666666667,0.222222222,0
frc867,0.222222222,0.111111111,0
frc6938,0.444444444,0,0
frc6915,0.888888889,0,0
frc5089,0.666666667,0.222222222,0
frc7051,1.555555556,0.222222222,0
frc6658,0.666666667,0.111111111,0
frc5285,1.523809524,0.476190476,0.047619048
frc606,0.444444444,0,0
frc5818,1.548387097,0.64516129,0.161290323
frc5669,1.047619048,0.238095238,0.047619048
frc4763,0.666666667,0,0.111111111
frc4964,0.444444444,0,0
frc968,1.3,0.575,0.125
frc3512,1.612903226,0.612903226,0.322580645
frc848,0.666666667,0,0.111111111
frc2404,1.111111111,0.222222222,0.111111111
frc691,1.047619048,0.333333333,0
frc3863,1.142857143,0.19047619,0
frc3408,0.888888889,0.222222222,0
frc687,1.35483871,0.741935484,0.129032258
frc3952,0.888888889,0,0
frc2710,1.428571429,0.523809524,0.095238095
frc589,0.952380952,0.333333333,0
frc5107,0.444444444,0,0
frc5510,0.666666667,0,0
frc6000,0.666666667,0,0.111111111
frc1452,0.777777778,0.388888889,0.055555556
frc5765,0.888888889,0,0.111111111
frc7185,0.666666667,0.111111111,0
frc4,0.952380952,0.333333333,0.047619048
frc580,0.903225806,0.483870968,0.129032258
frc5851,0.857142857,0.523809524,0.047619048
frc217,1.890909091,0.727272727,0.2
frc2234,0.588235294,0.617647059,0.029411765
frc4230,1.103448276,0.551724138,0.137931034
frc2832,0.862068966,0.793103448,0.137931034
frc2604,0.52173913,0.608695652,0.043478261
frc4476,1.565217391,0.760869565,0.108695652
frc1640,1.379310345,0.724137931,0.206896552
frc7028,0.736842105,0.578947368,0.105263158
frc5404,1.217391304,0.869565217,0.304347826
frc272,0.695652174,0.739130435,0.347826087
frc3940,1.2,0.763636364,0.090909091
frc3624,0.914285714,0.714285714,0.114285714
frc225,1.724137931,0.844827586,0.275862069
frc2137,0.913043478,0.760869565,0.108695652
frc1100,1.086956522,0.739130435,0.173913043
frc3604,1.260869565,0.695652174,0.195652174
frc4130,1.260869565,0.804347826,0.195652174
frc190,1,0.565217391,0.152173913
frc3276,1.172413793,0.793103448,0.24137931
frc6880,1.090909091,0.727272727,0.181818182
frc5123,0.914285714,0.514285714,0.057142857
frc467,1,0.652173913,0.195652174
frc1885,1.304347826,0.608695652,0.173913043
frc3936,0.695652174,0.608695652,0.239130435
frc191,1,0.75,0.09375
frc6334,1.172413793,0.586206897,0.172413793
frc3044,1.028571429,0.885714286,0.057142857
frc1918,1.652173913,0.717391304,0.543478261
frc71,1.47826087,0.826086957,0.239130435
frc2537,1.086956522,0.717391304,0.065217391
frc1731,1.608695652,0.673913043,0.217391304
frc5484,0.949152542,0.525423729,0.084745763
frc2987,1.214285714,0.678571429,0.071428571
frc3359,0.764705882,0.529411765,0.058823529
frc2771,1.344827586,0.827586207,0.327586207
frc5846,0.869565217,0.804347826,0.173913043
frc5050,1.608695652,0.760869565,0.260869565
frc4967,1,0.844827586,0.293103448
frc5016,0.705882353,0.352941176,0.088235294
frc2502,1.5,0.75,0.392857143
frc6909,1.043478261,0.52173913,0.173913043
frc3015,1.25,0.65625,0.34375
frc1736,1.25,0.75,0.1875
frc4145,1.368421053,0.736842105,0.157894737
frc4361,1.25,0.660714286,0.142857143
frc25,1.620689655,0.879310345,0.189655172
frc3990,1.636363636,0.757575758,0.090909091
frc7225,1.173913043,0.826086957,0.173913043
frc6548,1.043478261,0.652173913,0.326086957
frc2586,0.826086957,0.586956522,0.130434783
frc4004,1.103448276,0.655172414,0.051724138
frc5546,1.106382979,0.829787234,0.255319149
frc2846,1.071428571,0.535714286,0.071428571
frc1816,1.071428571,0.642857143,0.178571429
frc3357,1.793103448,0.862068966,0.275862069
frc2225,0.9,0.45,0.15
frc5254,1.3125,0.6875,0.15625
frc384,1.47826087,0.586956522,0.173913043
frc2338,0.875,0.78125,0.21875
frc5505,1.379310345,0.586206897,0.206896552
frc1507,1.4,0.733333333,0.466666667
frc88,1.379310345,0.655172414,0.034482759
frc133,1.52173913,0.891304348,0.369565217
frc862,1.565217391,0.739130435,0.108695652
frc422,1.130434783,0.782608696,0.108695652
frc6806,0.652173913,0.630434783,0.02173913
frc103,1.130434783,0.717391304,0.086956522
frc2910,1.739130435,0.717391304,0.065217391
frc2928,1.130434783,0.630434783,0.152173913
frc2415,1,0.586956522,0
frc5499,1.172413793,0.862068966,0.068965517
frc2811,1.275862069,0.620689655,0.068965517
frc5829,0.722222222,0.25,0.027777778
frc4192,1.03030303,0.515151515,0.090909091
frc6800,1.277777778,0.527777778,0.027777778
frc6985,1.090909091,0.681818182,0.136363636
frc1414,1.391304348,0.565217391,0.086956522
frc1410,1.133333333,0.566666667,0.1
frc1425,1.47826087,0.739130435,0.413043478
frc6838,0.727272727,0.409090909,0.045454545
frc2152,0.965517241,0.689655172,0.137931034
frc108,0.871794872,0.512820513,0
frc3753,1.263157895,0.684210526,0
frc341,1.272727273,0.590909091,0.159090909
frc418,1.151515152,0.575757576,0
frc1378,0.833333333,0.416666667,0.041666667
frc2723,0.896551724,0.379310345,0
frc3834,0.75,0.5,0.083333333
frc4911,1.391304348,0.760869565,0.173913043
frc4013,0.689655172,0.448275862,0
frc5803,1.448275862,0.75862069,0.189655172
frc175,1.260869565,0.782608696,0.260869565
frc744,1.368421053,0.710526316,0.078947368
frc801,1.142857143,0.607142857,0.178571429
frc3238,1,0.673913043,0.065217391
frc6988,1,0.55,0.15
frc5987,1.488372093,0.697674419,0.069767442
frc4499,1.03030303,0.787878788,0.060606061
frc932,0.838709677,0.709677419,0.064516129
frc1477,1.170731707,0.512195122,0.024390244
frc6502,1.347826087,0.673913043,0.086956522
frc1421,1.357142857,0.535714286,0.107142857
frc343,1.448275862,0.620689655,0.034482759
frc6846,0.6,0.75,0.05
frc1690,1.545454545,0.727272727,0.113636364
frc4265,1.310344828,0.482758621,0.103448276
frc1769,0.685714286,0.371428571,0.028571429
frc4795,1.103448276,0.706896552,0.086206897
frc4944,1.317073171,0.707317073,0.12195122
frc1466,0.896551724,0.793103448,0.068965517
frc7301,0.666666667,0.571428571,0.047619048
frc3229,0.913043478,0.717391304,0.108695652
frc4501,0.705882353,0.588235294,0.029411765
frc6902,0.631578947,0.578947368,0.105263158
frc3145,0.909090909,0.636363636,0.045454545
frc6832,0.96969697,0.333333333,0.03030303
frc3341,1.5,0.25,0
frc3749,1.5,0.75,0
frc4583,0,0.25,0
frc3882,1,0.6875,0.0625
frc6821,0.4,0.35,0
frc4486,1.1,0.4,0
frc6995,1,0,0.25
frc6515,1,0.25,0
frc3328,1.5,0.4,0.05
frc3021,1.3,0.4,0.1
frc3704,0.5,0,0
frc5514,0.25,0.25,0.125
frc6755,0.75,0.625,0
frc3965,0.8,0.533333333,0.166666667
frc6659,1.25,0.5,0
frc6920,1,0.125,0
frc3128,1.310344828,0.620689655,0.275862069
frc4738,1,0.5,0
frc2613,0.9,0.4,0.1
